"Job No. ","Result ","Start Time ","End Time ","Dept. ID ","Job Type","File Name ","User Name ","Original Pages ","Output Pages ","Sheets x Copies ","End Code ","Job Note ","Details "
6269,"OK",09/18/2017 10:34:55,09/18/2017 10:35:19,,"Printer Print ","MeasurementsLab1 (1).pdf","aduarteg","6","6","6 X 1","OK","",""
6268,"OK",09/18/2017 10:22:27,09/18/2017 10:22:48,,"Printer Print ","MeasurementsLab1.pdf","aduarteg","6","6","6 X 1","OK","",""
6267,"OK",09/18/2017 10:13:30,09/18/2017 10:14:58,,"Printer Print ","elife-22013-v1.pdf","dsoundar","47","47","24 X 1","OK","",""
6266,"OK",09/18/2017 10:12:20,09/18/2017 10:13:01,,"Printer Print ","ncomms13815.pdf","dsoundar","14","14","7 X 1","OK","",""
6265,"OK",09/18/2017 10:10:16,09/18/2017 10:11:04,,"Printer Print ","elife-22319-v1.pdf","dsoundar","21","21","11 X 1","OK","",""
6264,"OK",09/18/2017 10:08:59,09/18/2017 10:09:59,,"Printer Print ","elife-22546-v1.pdf","dsoundar","24","24","12 X 1","OK","",""
6263,"OK",09/18/2017 9:26:02,09/18/2017 9:26:10,,"Printer Print ","homeworks.pdf","abrugge1","1","1","1 X 1","OK","",""
6262,"OK",09/18/2017 9:25:48,09/18/2017 9:25:56,,"Printer Print ","homeworks.pdf","abrugge1","1","1","1 X 1","OK","",""
6261,"OK",09/18/2017 9:25:35,09/18/2017 9:25:45,,"Printer Print ","homeworks.pdf","abrugge1","1","1","1 X 1","OK","",""
6260,"OK",09/18/2017 9:25:15,09/18/2017 9:25:36,,"Printer Print ","homeworks.pdf","abrugge1","1","1","1 X 1","OK","",""
6259,"OK",09/18/2017 9:10:21,09/18/2017 9:10:56,,"Printer Print ","Microsoft Word - AME 20213 Techn","scombs1","7","7","4 X 1","OK","",""
6258,"OK",09/18/2017 3:21:26,09/18/2017 3:23:00,,"Printer Print ","ACFrOgAklmBJGEkvZE5ixo7s8HCCQ0wv","bcoble","25","50","25 X 2","OK","",""
6257,"OK",09/18/2017 1:31:51,09/18/2017 1:33:17,,"Printer Print ","ACFrOgAsu9zvaj4dEREJS_JbKQ_h_CXS","bcoble","21","42","11 X 2","OK","",""
6256,"OK",09/18/2017 1:26:46,09/18/2017 1:27:35,,"Printer Print ","ACFrOgDc51k39CUCDqGcnUWAREYQLDcz","bcoble","6","12","3 X 2","OK","",""
6255,"OK",09/17/2017 23:21:06,09/17/2017 23:21:29,,"Printer Print ","Differential Equations Homeworks","jbruck1","1","1","1 X 1","OK","",""
6254,"OK",09/17/2017 23:20:04,09/17/2017 23:20:27,,"Printer Print ","Differential Equations Homeworks","jbruck1","1","1","1 X 1","OK","",""
6253,"OK",09/17/2017 22:52:36,09/17/2017 22:55:06,,"Printer Print ","Pro/ENGINEER - MEASUREMENTS1B","jriney","1","1","1 X 1","OK","",""
6252,"OK",09/17/2017 21:25:09,09/17/2017 21:26:08,,"Printer Print ","PIIS0960982204008954.pdf","dsoundar","14","14","1 X 14","OK","",""
6251,"OK",09/17/2017 21:02:42,09/17/2017 21:03:17,,"Printer Print ","exam1.pdf","jduarte","1","1","1 X 1","OK","",""
6250,"OK",09/17/2017 20:51:13,09/17/2017 20:52:13,,"Printer Print ","homework2.pdf","kgao","16","16","8 X 1","OK","",""
6249,"OK",09/17/2017 17:23:07,09/17/2017 17:23:55,,"Printer Print ","Notes5 2017 (1).pdf","bkenned8","9","9","5 X 1","OK","",""
6248,"OK",09/17/2017 17:21:49,09/17/2017 17:22:17,,"Printer Print ","Notes6 2017.pdf","bkenned8","10","10","5 X 1","OK","",""
6246,"OK",09/17/2017 17:21:20,09/17/2017 17:21:59,,"Printer Print ","P46.JPG (2448×3264)","bkenned8","1","1","1 X 1","OK","",""
6247,"NG",09/17/2017 17:21:44,09/17/2017 17:21:44,,"Printer Print ","Notes5 2017.pdf","bkenned8","0","0","0 X 0","#857","",""
6245,"OK",09/17/2017 17:19:47,09/17/2017 17:20:32,,"Printer Print ","Notes4 2017.pdf","bkenned8","8","8","4 X 1","OK","",""
6244,"OK",09/17/2017 17:19:20,09/17/2017 17:20:21,,"Printer Print ","Notes3 2017.pdf","bkenned8","13","13","7 X 1","OK","",""
6243,"OK",09/17/2017 17:17:49,09/17/2017 17:18:43,,"Printer Print ","Notes2 2017 (1).pdf","bkenned8","14","14","1 X 7","OK","",""
6242,"OK",09/17/2017 16:00:10,09/17/2017 16:00:46,,"Printer Print ","Microsoft Word - Document1","rheard2","1","1","1 X 1","OK","",""
6241,"OK",09/17/2017 15:44:33,09/17/2017 15:45:16,,"Printer Print ","Microsoft Word - Report","aprestam","4","4","2 X 1","OK","",""
6240,"OK",09/17/2017 14:33:55,09/17/2017 14:34:29,,"Printer Print ","Microsoft Word - Document1","moleary6","1","1","1 X 1","OK","",""
6239,"OK",09/17/2017 14:32:15,09/17/2017 14:32:55,,"Printer Print ","Microsoft Word - Document1","moleary6","2","2","1 X 1","OK","",""
6238,"OK",09/17/2017 13:30:40,09/17/2017 13:31:09,,"Printer Print ","hw2_fa12.pdf","jsnipas","2","2","1 X 1","OK","",""
6237,"OK",09/17/2017 12:08:25,09/17/2017 12:09:43,,"Printer Print ","HW _3_2.pdf","gbullen","3","3","2 X 1","OK","",""
6236,"OK",09/17/2017 12:08:18,09/17/2017 12:09:34,,"Printer Print ","HW _3_1.pdf","gbullen","3","3","1 X 3","OK","",""
6235,"OK",09/17/2017 12:06:36,09/17/2017 12:08:14,,"Printer Print ","Peterson monotheism as a politic","jhigham","36","36","1 X 36","OK","",""
6234,"OK",09/16/2017 19:25:28,09/16/2017 19:26:13,,"Printer Print ","Microsoft Word - CBE 40479 F17 H","dsoundar","7","7","4 X 1","OK","",""
6233,"OK",09/16/2017 14:32:02,09/16/2017 14:32:16,,"Printer Print ","ACFrOgA2qkgSQc2sU02Eo7b4dhlhbtnG","erusso","1","1","1 X 1","OK","",""

